"","P","Model","PEHE","SE"
"5.BCF",5,"BCF",1.22095360972488,0.0304962582111274
"10.BCF",10,"BCF",1.6846456741282,0.0378653707410471
"50.BCF",50,"BCF",1.80359753740367,0.0303335690952759
"100.BCF",100,"BCF",1.88261121699364,0.0335855501808207
"150.BCF",150,"BCF",1.74399283108743,0.0329557760723051
"5.SH-BCF",5,"SH-BCF",1.21648575973549,0.0318789931547678
"10.SH-BCF",10,"SH-BCF",1.68421978259345,0.044571825419406
"50.SH-BCF",50,"SH-BCF",1.71688039260649,0.0363926261966333
"100.SH-BCF",100,"SH-BCF",1.75501739417693,0.0354715984337912
"150.SH-BCF",150,"SH-BCF",1.3420357204113,0.0501308294740028
